ID,StorageTime,fvo|FrameNumber,fvo|TimeStamp,fvo|UserTimeStamp,fvo|FrameRate,fvo|HeadPosition_x,fvo|HeadPosition_y,fvo|HeadPosition_z,fvo|HeadHeading,fvo|HeadPitch,fvo|HeadRoll,fvo|GazeOrigin_x,fvo|GazeOrigin_y,fvo|GazeOrigin_z,fvo|EyePosition_x,fvo|EyePosition_y,fvo|EyePosition_z,fvo|GazeDirection_x,fvo|GazeDirection_y,fvo|GazeDirection_z,fvo|GazeDirectionQ,fvo|ClosestWorldIntersection_worldPoint_x,fvo|ClosestWorldIntersection_worldPoint_y,fvo|ClosestWorldIntersection_worldPoint_z,fvo|ClosestWorldIntersection_objectPoint_x,fvo|ClosestWorldIntersection_objectPoint_y,fvo|ClosestWorldIntersection_objectPoint_z,fvo|ClosestWorldIntersection_objectName,fvo|LeftEyelidOpening,fvo|RightEyelidOpening,fvo|LeftPupilDiameter,fvo|RightPupilDiameter,fvo|EstimatedGazeOrigin_x,fvo|EstimatedGazeOrigin_y,fvo|EstimatedGazeOrigin_z,fvo|EstimatedEyePosition_x,fvo|EstimatedEyePosition_y,fvo|EstimatedEyePosition_z,fvo|EstimatedGazeDirection_x,fvo|EstimatedGazeDirection_y,fvo|EstimatedGazeDirection_z,fvo|EstimatedGazeDirectionQ,fvo|ScreenPoint2D_x,fvo|ScreenPoint2D_y
126927,1.72E+16,215707,35948131970,0,60.0338591,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126928,1.72E+16,215708,35948298639,0,60.04198936,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126929,1.72E+16,215709,35948464755,0,60.02489032,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126930,1.72E+16,215710,35948631505,0,60.04385203,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126931,1.72E+16,215711,35948798412,0,60.04247004,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126932,1.72E+16,215712,35948965413,0,60.02302884,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126933,1.72E+16,215713,35949132107,0,60.02162779,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126934,1.72E+16,215714,35949298850,0,60.04473333,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126935,1.72E+16,215715,35949465094,0,60.02623146,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126936,1.72E+16,215716,35949631722,0,60.03421951,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
126937,1.72E+16,215717,35949797869,0,60.03694273,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,,0,0,0.004,0.004,0,0,0,0,0,0,0,0,0,0,-1,-1
