ScreenPoint_x,ScreenPoint_y
-1,-1
-1,-1
602,1971
479,1892
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
298,931
474,829
596,843
706,825
755,749
755,749
755,749
838,665
838,651
838,651
919,589
995,549
995,549
995,549
995,549
995,549
975,530
975,530
975,530
975,530
975,530
946,544
946,544
946,544
946,544
946,544
915,548
915,548
915,548
915,548
915,548
906,560
906,560
906,560
906,560
906,560
946,546
946,546
946,546
946,546
946,546
925,568
925,568
925,568
925,568
925,568
955,564
955,564
955,564
955,564
955,564
959,569
959,569
959,569
959,569
959,569
935,572
935,572
935,572
935,572
935,572
924,556
924,556
924,556
924,556
924,556
923,564
923,564
923,564
923,564
923,564
932,527
932,527
932,527
932,527
932,527
949,540
949,540
949,540
949,540
949,540
934,529
934,529
934,529
934,529
934,529
920,488
920,488
920,488
920,488
920,488
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
903,512
775,532
775,532
775,532
775,532
853,552
883,552
883,552
883,552
883,552
883,552
875,569
875,569
875,569
875,569
875,569
917,557
917,557
917,557
917,557
917,557
951,568
951,568
951,568
951,568
951,568
957,571
957,571
957,571
957,571
957,571
947,561
947,561
947,561
947,561
947,561
952,556
952,556
952,556
952,556
952,556
963,548
963,548
963,548
963,548
963,548
974,537
974,537
974,537
974,537
974,537
987,502
987,502
987,502
987,502
987,502
960,488
960,488
960,488
960,488
960,488
969,508
969,508
969,508
969,508
969,508
990,505
990,505
990,505
990,505
990,505
980,537
980,537
980,537
980,537
980,537
1014,539
1014,539
1014,539
1014,539
1014,539
1024,542
1024,542
1024,542
1024,542
1024,542
1005,556
1005,556
1005,556
1005,556
1005,556
1003,552
1003,552
1003,552
1003,552
1003,552
1005,551
1005,551
1005,551
1005,551
1005,551
1001,572
1001,572
1001,572
1001,572
1001,572
1014,563
1014,563
1014,563
1014,563
1014,563
985,567
985,567
985,567
985,567
985,567
944,552
944,552
944,552
944,552
944,552
968,548
968,548
968,548
968,548
968,548
954,535
954,535
954,535
954,535
954,535
974,531
974,531
974,531
974,531
974,531
958,542
958,542
958,542
958,542
958,542
955,547
955,547
955,547
955,547
955,547
969,545
969,545
969,545
969,545
969,545
975,535
975,535
975,535
975,535
975,535
964,530
964,530
964,530
964,530
964,530
956,541
956,541
956,541
956,541
956,541
942,546
942,546
942,546
942,546
942,546
920,543
920,543
920,543
920,543
920,543
903,546
903,546
903,546
903,546
903,546
951,500
951,500
951,500
951,500
951,500
966,502
966,502
966,502
966,502
966,502
946,499
946,499
946,499
946,499
537,570
162,521
560,601
288,708
204,739
-1227,1240
-2429,1819
-3145,2140
-1236,1359
138,734
-1278,1377
-2309,1860
-1667,1698
115,734
-1866,1703
-2601,1957
-1352,1432
269,717
582,487
-154,444
559,527
725,484
982,492
979,470
979,470
979,470
979,470
979,470
988,484
988,484
988,484
988,484
988,484
978,509
978,509
978,509
978,509
978,509
946,536
946,536
946,536
946,536
946,536
964,524
964,524
964,524
964,524
964,524
974,523
974,523
974,523
974,523
974,523
965,541
965,541
965,541
965,541
965,541
