ScreenPoint_x,ScreenPoint_y
1516,1010
1543,1010
1543,1010
1543,1010
1543,1010
1543,1010
1549,1010
1549,1010
1549,1010
1549,1010
1549,1010
1554,1010
1554,1010
1554,1010
1554,1010
1554,1010
1555,1010
1555,1010
1555,1010
1555,1010
1555,1010
1561,1010
1561,1010
1561,1010
1561,1010
1561,1010
1539,1010
1539,1010
1539,1010
1539,1010
1539,1010
1549,1010
1549,1010
1549,1010
1549,1010
1549,1010
1512,1010
1512,1010
1512,1010
1512,1010
1512,1010
1482,1010
1482,1010
1482,1010
1482,1010
1482,1010
1462,1010
1462,1010
1462,1010
1368,1010
1438,1010
1438,1010
1438,1010
1438,1010
1438,1010
1427,1010
1427,1010
1427,1010
1427,1010
1427,1010
1419,1010
1419,1010
1419,1010
1419,1010
1419,1010
1412,1010
1412,1010
1412,1010
1412,1010
1412,1010
1405,1010
1405,1010
1405,1010
1405,1010
1405,1010
1508,1010
1508,1010
1508,1010
1508,1010
1508,1010
1508,1010
1508,1010
1508,1010
1508,1010
1508,1010
1434,1010
1434,1010
1053,1010
897,1010
897,1010
897,1010
774,1010
1000,1010
894,1010
1,1
1,1
471,1010
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2948,959
2906,639
2906,639
2906,639
2906,639
2906,639
2995,548
2995,548
2995,548
2995,548
2995,548
2975,574
2975,574
2975,574
2975,574
2975,574
2911,552
2911,552
2911,552
2911,552
2911,552
2939,521
2939,521
2939,521
2939,521
2939,521
2916,526
2916,526
2916,526
2916,526
2916,526
2934,543
2934,543
2934,543
2934,543
2934,543
3031,516
3031,516
3031,516
3031,516
3031,516
3378,377
3378,377
3378,377
3378,377
3378,377
3396,296
3396,296
3396,296
3396,296
3396,296
3370,265
3370,265
3370,265
3370,265
3370,265
3372,282
3372,282
3372,282
3372,282
3372,282
3295,289
3295,289
3295,289
3295,289
2610,478
2108,455
1259,512
2276,98
1442,417
1,817
5738,1010
1,1010
1,1010
1,1010
5738,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1
1,1
1,1
1,1
1,1
1,1
3180,510
3052,543
3052,543
3052,543
3052,543
3052,543
3011,574
3011,574
3011,574
3011,574
3011,574
2972,540
2972,540
2972,540
2972,540
2972,540
2954,531
2954,531
2954,531
2954,531
2954,531
2931,530
2931,530
2931,530
2931,530
2931,530
3072,475
3072,475
3072,475
3072,475
3072,475
3352,391
3352,391
3352,391
3352,391
3352,391
3381,360
3381,360
3381,360
3381,360
3381,360
3372,289
3372,289
3372,289
3372,289
3372,289
2931,451
2931,451
2931,451
2931,451
2931,451
2802,479
2802,479
2802,479
2802,479
2802,479
2878,463
2878,463
2878,463
2878,463
2878,463
2908,465
2908,465
2202,556
1280,554
2274,532
1812,603
1162,612
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1004
1,1010
1,967
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1059,712
1853,610
933,578
1985,538
2645,512
2648,572
2648,572
2648,572
2648,572
2648,572
2736,549
2736,549
2736,549
2736,549
2736,549
2876,540
2876,540
2876,540
2876,540
2876,540
2883,525
2883,525
2883,525
2883,525
2883,525
2967,502
2967,502
2967,502
2967,502
2967,502
2977,490
2977,490
2977,490
2977,490
2977,490
2954,528
2954,528
2954,528
2954,528
2954,528
2967,523
2967,523
2967,523
2967,523
2967,523
2947,518
2947,518
2947,518
2947,518
2947,518
2957,506
2957,506
2957,506
2957,506
2957,506
3143,405
3143,405
3143,405
3143,405
3143,405
3148,396
3148,396
3148,396
3148,396
3148,396
3264,389
3264,389
3264,389
3264,389
3264,389
3288,389
3288,389
3288,389
3288,389
3288,389
3311,386
3311,386
3311,386
3311,386
3311,386
3334,360
3334,360
3334,360
3334,360
3334,360
3013,485
3013,485
3013,485
3013,485
3013,485
3013,497
3013,497
3013,497
3013,497
3013,497
2954,521
2954,521
2954,521
2954,521
2954,521
2678,563
2678,563
2678,563
2678,563
2678,563
2724,616
2724,616
2724,616
2724,616
2724,616
2807,617
2807,617
2349,638
2203,598
2203,598
2203,598
2203,598
2203,598
2057,626
813,627
1487,679
950,776
846,714
846,714
846,714
846,714
846,714
736,709
736,709
736,709
736,709
1,772
684,695
684,695
1,969
5738,1010
5738,1010
5738,1010
5738,1010
5738,1010
5738,1010
5738,1010
5738,1010
5738,1010
5738,1010
5738,1010
5738,1010
1,1010
1,1010
1384,934
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1546,856
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
5147,654
5097,722
5097,722
5097,722
5097,722
5097,722
4992,732
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2804,571
2863,569
2863,569
2863,569
2863,569
2863,569
2932,540
2932,540
2932,540
2932,540
2932,540
3100,524
3100,524
3100,524
3100,524
3100,524
3360,406
3360,406
3360,406
3360,406
3360,406
3345,411
3345,411
3345,411
3345,411
3345,411
3316,428
3316,428
3316,428
3316,428
3316,428
3044,478
3044,478
3044,478
3044,478
3044,478
3039,470
3039,470
3039,470
3039,470
3039,470
3054,480
3054,480
3054,480
3054,480
3054,480
3054,509
3054,509
3054,509
3054,509
3054,509
3031,533
3031,533
3031,533
3031,533
3031,533
3046,519
3046,519
3046,519
3046,519
3046,519
3023,519
3023,519
3023,519
3023,519
3023,519
3021,507
3021,507
3021,507
3021,507
3021,507
3028,499
3028,499
3028,499
3028,499
3028,499
3005,497
3005,497
3005,497
3005,497
3005,497
3026,468
3026,468
3026,468
3026,468
3026,468
3000,482
3000,482
3000,482
3000,482
3000,482
3034,521
3034,521
3034,521
3034,521
3034,521
3018,531
3018,531
3018,531
3018,531
3018,531
3052,538
3052,538
3052,538
3052,538
3052,538
3070,534
3070,534
3070,534
3070,534
3070,534
3077,555
3077,555
3077,555
3077,555
3077,555
3080,563
3080,563
3080,563
3080,563
3080,563
3157,549
3157,549
3157,549
3157,549
3157,549
3190,546
3190,546
3190,546
3190,546
3190,546
3188,524
3188,524
3188,524
3188,524
3188,524
3090,541
3090,541
3090,541
3090,541
3090,541
3029,545
3029,545
3029,545
3029,545
3029,545
3057,572
3057,572
3057,572
2530,771
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1111,808
2168,603
1001,617
2232,618
2698,575
2904,593
2904,593
2904,593
2904,593
2904,593
3008,538
3008,538
3008,538
3008,538
3008,538
3075,505
3075,505
3075,505
3075,505
3075,505
3095,488
3095,488
3095,488
3095,488
3095,488
3028,504
3028,504
3028,504
3028,504
3028,504
3000,528
3000,528
3000,528
3000,528
3000,528
3011,514
3011,514
3011,514
3011,514
3011,514
3003,545
3003,545
3003,545
3003,545
3003,545
2962,557
2962,557
2962,557
2962,557
2962,557
2949,540
2949,540
2949,540
2949,540
2949,540
2952,526
2952,526
2952,526
2952,526
2952,526
2924,518
2924,518
2924,518
2924,518
2924,518
2931,497
2931,497
2931,497
2931,497
2931,497
2929,494
2929,494
2929,494
2929,494
2929,494
2942,504
2942,504
2942,504
2942,504
2942,504
2929,497
2929,497
2929,497
2929,497
2929,497
2949,509
2949,509
2949,509
2949,509
2949,509
2977,519
2977,519
2977,519
2977,519
2977,519
2972,523
2972,523
2972,523
2972,523
2972,523
2993,507
2993,507
2993,507
2993,507
2993,507
2860,516
2404,612
1702,636
771,599
1953,644
1,861
1,1010
1,1010
5738,1010
5738,1010
5738,1010
5738,1010
5738,1010
5738,1010
5738,1010
5738,1010
5738,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1010
1,1
1,1
1,1
1,1
1,1
1,1
1,1
3136,587
3087,536
3087,536
3087,536
3087,536
3087,536
3026,512
3026,512
3026,512
3026,512
3026,512
2990,504
2990,504
2990,504
2990,504
2990,504
2982,487
2982,487
2982,487
2982,487
2982,487
2962,511
2962,511
2962,511
2962,511
2962,511
2926,518
2926,518
2926,518
2926,518
2926,518
3156,456
3156,456
3156,456
3156,456
3156,456
3474,282
3474,282
3474,282
3474,282
3474,282
3440,294
3440,294
3440,294
3440,294
3440,294
3435,311
3435,311
3435,311
3435,311
3435,311
3174,430
3174,430
3174,430
3174,430
3174,430
3010,458
3010,458
3010,458
3010,458
3010,458
3726,559
3726,559
3726,559
3726,559
3726,559
4792,669
4792,669
4792,669
4792,669
4792,669
5036,703
5036,703
5036,703
5036,703
5036,703
4825,759
4825,759
4825,759
4825,759
4825,759
1,1
1,1
1,1
1,1
3216,515
3103,500
3103,500
3103,500
3103,500
3103,500
3031,475
3031,475
3031,475
3031,475
3031,475
3100,405
3100,405
3100,405
3100,405
3100,405
3125,381
3125,381
3125,381
3125,381
3125,381
2911,443
2911,443
2911,443
2911,443
2911,443
2934,460
2934,460
2934,460
2934,460
2934,460
2931,417
2931,417
2931,417
2931,417
2931,417
2967,444
2967,444
2967,444
2967,444
2967,444
2952,446
2952,446
2952,446
2952,446
2952,446
2842,482
2842,482
2842,482
2842,482
2842,482
2840,484
2840,484
2840,484
2840,484
2840,484
2837,494
2837,494
2837,494
2837,494
2837,494
2809,486
2809,486
2809,486
2809,486
2809,486
2830,508
2830,508
2830,508
2830,508
2830,508
2842,516
2842,516
2842,516
2842,516
2842,516
2850,513
2850,513
2850,513
2850,513
2850,513
2875,513
2875,513
2875,513
2875,513
2875,513
2807,658
2807,658
2807,658
