HeadPosition,HeadPositionQ,EyePosition,GazeDirection,ClosestWorldIntersection,FilteredClosestWorldIntersection,EstimatedClosestWorldIntersection,EyelidOpening,EyelidOpeningQ,LeftEyelidState,RightEyelidState,PupilDiameter,PupilDiameterQ,FrameNumber,StorageTime
"{'x': -0.011505322601344202, 'y': 0.020748058888230315, 'z': 0.9344456420463014}",1.0,"{'x': -0.06320155951885384, 'y': 0.08614245570277637, 'z': 0.9080250812446204}","{'x': -0.5994159137433899, 'y': 0.28749782860936574, 'z': -0.747024471417153}","{'WorldPoint': {'x': -0.9152013421991145, 'y': 0.4945393989692591, 'z': -0.15382885913075256}, 'ObjectPoint': {'x': 764.5123059332842, 'y': 387.8290818553336, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.9133838918072676, 'y': 0.4908619023548375, 'z': -0.15537369196382245}, 'ObjectPoint': {'x': 768.6013838566128, 'y': 394.44857576129243, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.9952733942469969, 'y': 0.6933467175268565, 'z': -0.08576761489005261}, 'ObjectPoint': {'x': 584.3583596283881, 'y': 29.975908451658142, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.008099128492176533,1.0,1,1,0.0034811772968193376,0.7402896804672888,117505,1721132584352
"{'x': -0.012008973552780258, 'y': 0.020669976377102207, 'z': 0.9352196232460505}",1.0,"{'x': -0.06367578775399392, 'y': 0.08612534665463517, 'z': 0.9085722130408806}","{'x': -0.6034493080979697, 'y': 0.28166477104834686, 'z': -0.7459985853246403}","{'WorldPoint': {'x': -0.9198399206254579, 'y': 0.4854997977063165, 'z': -0.14988606746836064}, 'ObjectPoint': {'x': 754.0759778090743, 'y': 404.1003641286302, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.9129212208455826, 'y': 0.4905616165037045, 'z': -0.15576696228125475}, 'ObjectPoint': {'x': 769.6423463080109, 'y': 394.98909029333186, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.9817460057515232, 'y': 0.6783939510874398, 'z': -0.09726589511120523}, 'ObjectPoint': {'x': 614.7936033661374, 'y': 56.89088804260825, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.007872172864153981,1.0,1,1,0.0034841768693756507,0.7388266375000416,117506,1721132584370
"{'x': -0.012496888178572689, 'y': 0.02049446489884916, 'z': 0.9360195687361196}",1.0,"{'x': -0.06435641208325925, 'y': 0.08581117957906698, 'z': 0.9093888489554582}","{'x': -0.5896243245523685, 'y': 0.2886460099637661, 'z': -0.7543385425842702}","{'WorldPoint': {'x': -0.9032912303433066, 'y': 0.49625755465746313, 'z': -0.16395245420818927}, 'ObjectPoint': {'x': 791.3088422637562, 'y': 384.73640161656635, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.9226532948580797, 'y': 0.48959281494427254, 'z': -0.1474946993706322}, 'ObjectPoint': {'x': 747.7461728711887, 'y': 396.7329331003094, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.9897878327927487, 'y': 0.691872760703932, 'z': -0.09043034212616347}, 'ObjectPoint': {'x': 596.7003131365842, 'y': 32.629030732922274, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.008075441233813763,1.0,1,1,0.003486122533827426,0.7460429789758851,117507,1721132584386
"{'x': -0.013199231558397886, 'y': 0.020317945031449174, 'z': 0.9367799896370403}",1.0,"{'x': -0.06476826827933498, 'y': 0.0856293297080201, 'z': 0.910050002631029}","{'x': -0.5909088818387309, 'y': 0.288239740960126, 'z': -0.7534882514647063}","{'WorldPoint': {'x': -0.9055156052797271, 'y': 0.49549028368019155, 'z': -0.16206173551223185}, 'ObjectPoint': {'x': 786.3042256389916, 'y': 386.11748937565517, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.9128767341955905, 'y': 0.4913806215591701, 'z': -0.15580477593374803}, 'ObjectPoint': {'x': 769.7424367309361, 'y': 393.5148811934937, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.9919195721151285, 'y': 0.6628028127125414, 'z': -0.08861836370214066}, 'ObjectPoint': {'x': 591.9041171905832, 'y': 84.9549371174254, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.008124744519591331,1.0,1,1,0.0034898505852532596,0.7477053220441156,117508,1721132584403
"{'x': -0.01400742064712581, 'y': 0.020188140717216165, 'z': 0.9374493312545572}",1.0,"{'x': -0.0660489362397254, 'y': 0.08561178449799575, 'z': 0.9099664251538532}","{'x': -0.5837814779635182, 'y': 0.2865931317576854, 'z': -0.7596469988198813}","{'WorldPoint': {'x': -0.8960438775108832, 'y': 0.49282991678066335, 'z': -0.17011270411574914}, 'ObjectPoint': {'x': 807.6146465941396, 'y': 390.90614979480597, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.9090089684393539, 'y': 0.492173281851442, 'z': -0.15909237682654914}, 'ObjectPoint': {'x': 778.4445150035435, 'y': 392.08809266740434, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -1.0237588713925312, 'y': 0.6632915884180273, 'z': -0.06155495931634836}, 'ObjectPoint': {'x': 520.2689427981913, 'y': 84.07514084755087, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.007874716771766543,1.0,1,1,0.003494865325387466,0.7439133668634813,117509,1721132584418
"{'x': -0.014692012451995678, 'y': 0.020103250850723828, 'z': 0.938065983652323}",1.0,"{'x': -0.06629825677083993, 'y': 0.08546761210212105, 'z': 0.910953512866876}","{'x': -0.6066368831022532, 'y': 0.28704452779550604, 'z': -0.7413481848110495}","{'WorldPoint': {'x': -0.9280425773026474, 'y': 0.4931947056921154, 'z': -0.14291380929274966}, 'ObjectPoint': {'x': 735.620837310162, 'y': 390.2495297541923, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.9521935997728652, 'y': 0.4894528139669699, 'z': -0.12238544019306452}, 'ObjectPoint': {'x': 681.2835011981043, 'y': 396.98493485945426, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -1.0271568166889609, 'y': 0.6896232805341802, 'z': -0.05866670581438313}, 'ObjectPoint': {'x': 512.6239126181991, 'y': 36.6780950384757, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.008028076961636543,1.0,1,1,0.0034983226908009237,0.7550912808654899,117510,1721132584436
"{'x': -0.01536651060351143, 'y': 0.020052112379718774, 'z': 0.9385998874580409}",1.0,"{'x': -0.06672079222306213, 'y': 0.08525856531677473, 'z': 0.9117946514137962}","{'x': -0.5298827515968337, 'y': 0.2990909828063891, 'z': -0.7935797713929436}","{'WorldPoint': {'x': -0.8282123274679531, 'y': 0.5145443806992538, 'z': -0.22776952165223974}, 'ObjectPoint': {'x': 960.228712447034, 'y': 351.8201147413432, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.85427700722219, 'y': 0.5037367775813457, 'z': -0.20561454386113837}, 'ObjectPoint': {'x': 901.5858427215129, 'y': 371.2738003535777, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -1.0153920471716933, 'y': 0.6781671114554471, 'z': -0.06866675990406054}, 'ObjectPoint': {'x': 539.0934435181425, 'y': 57.299199380195205, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.007963187526911497,1.0,1,1,0.003488765904060104,0.7568589448928833,117511,1721132584452
"{'x': -0.01598850443320462, 'y': 0.019941299311146132, 'z': 0.9392273783142969}",1.0,"{'x': -0.06739206817950064, 'y': 0.08540129737459516, 'z': 0.9116432074970893}","{'x': -0.5840593740495641, 'y': 0.28234845491177485, 'z': -0.7610216801075806}","{'WorldPoint': {'x': -0.896966560817875, 'y': 0.48619050107459, 'z': -0.16932842330480613}, 'ObjectPoint': {'x': 805.538703306901, 'y': 402.857098065738, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.9056010899982824, 'y': 0.493434993395031, 'z': -0.1619890735014599}, 'ObjectPoint': {'x': 786.1118937453706, 'y': 389.8170118889442, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -1.0165243590498647, 'y': 0.6653494716094884, 'z': -0.06770429480761497}, 'ObjectPoint': {'x': 536.5458573369057, 'y': 80.3709511029208, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.007924673613160849,1.0,1,1,0.0034909259795468457,0.7602385560372719,117512,1721132584469
"{'x': -0.016627008183421322, 'y': 0.019832233510772415, 'z': 0.9397834635541839}",1.0,"{'x': -0.06818607189189346, 'y': 0.08528551623771816, 'z': 0.911900672628656}","{'x': -0.5393339589230476, 'y': 0.2885028245381793, 'z': -0.791128940809199}","{'WorldPoint': {'x': -0.8393012044187509, 'y': 0.4972465307725968, 'z': -0.21834397624406165}, 'ObjectPoint': {'x': 935.2798708514545, 'y': 382.9562446093257, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.8551424480932321, 'y': 0.5032458997634534, 'z': -0.20487891912075262}, 'ObjectPoint': {'x': 899.6386890739637, 'y': 372.157380425784, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -1.0057564327759487, 'y': 0.6628557542028651, 'z': -0.07685703214044354}, 'ObjectPoint': {'x': 560.772592660313, 'y': 84.85964243484261, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.007988829631358385,1.0,1,1,0.00349596881094871,0.7622471429351577,117513,1721132584486
"{'x': -0.017137007328888166, 'y': 0.019814208305406793, 'z': 0.9402469740170498}",1.0,"{'x': -0.06836758415587871, 'y': 0.08528661571282203, 'z': 0.9121446978329093}","{'x': -0.5549907073597191, 'y': 0.2900200679283763, 'z': -0.7796625391431725}","{'WorldPoint': {'x': -0.860591037309846, 'y': 0.4988503790264766, 'z': -0.2002476182866308}, 'ObjectPoint': {'x': 887.3799193276819, 'y': 380.06931775234204, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.8554118081722332, 'y': 0.5015699872748567, 'z': -0.20464996305360172}, 'ObjectPoint': {'x': 899.032656382557, 'y': 375.1740229052581, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -1.0040083054369398, 'y': 0.6796322259955344, 'z': -0.07834294037860118}, 'ObjectPoint': {'x': 564.7057007886973, 'y': 54.661993208037984, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.008047695737332106,1.0,1,1,0.00349605110606208,0.764489099495393,117514,1721132584503
"{'x': -0.017611398668915958, 'y': 0.01976885049877321, 'z': 0.940757310617146}",1.0,"{'x': -0.06884219843832155, 'y': 0.08516804299485986, 'z': 0.9124901274689016}","{'x': -0.5414212288015309, 'y': 0.2957513430481968, 'z': -0.787016007517146}","{'WorldPoint': {'x': -0.844158528745368, 'y': 0.5083290212060164, 'z': -0.2142152505664371}, 'ObjectPoint': {'x': 924.3513867731451, 'y': 363.0077618291706, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.8512337375603618, 'y': 0.503397584420271, 'z': -0.20820132307369232}, 'ObjectPoint': {'x': 908.4328889158636, 'y': 371.8843480435121, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -1.0121406914503799, 'y': 0.6580477088918221, 'z': -0.071430412267177}, 'ObjectPoint': {'x': 546.4086621125823, 'y': 93.5141239947202, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.008250701939687133,1.0,1,1,0.003496634690937888,0.7676280378399039,117515,1721132584520
"{'x': -0.01806842475347411, 'y': 0.019772970438409965, 'z': 0.9411189526442458}",1.0,"{'x': -0.06950355897629931, 'y': 0.08512331619373664, 'z': 0.9126595674189457}","{'x': 0.0, 'y': 0.0, 'z': 0.0}",,,"{'WorldPoint': {'x': -1.0266585560477566, 'y': 0.7025322600764705, 'z': -0.05909022735940675}, 'ObjectPoint': {'x': 513.7449482168332, 'y': 13.441931862353158, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.008024243405088782,1.0,1,1,0.0034976516701923045,0.7727254638098237,117516,1721132584536
"{'x': -0.018607958297938005, 'y': 0.019788989758151666, 'z': 0.9413880214233105}",1.0,"{'x': -0.06978625048421792, 'y': 0.08494372514148801, 'z': 0.9130091012836781}","{'x': 0.0, 'y': 0.0, 'z': 0.0}",,,"{'WorldPoint': {'x': -1.0162616576863917, 'y': 0.6945599886460098, 'z': -0.067927590966567}, 'ObjectPoint': {'x': 537.1369085978504, 'y': 27.792020437182373, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.008077253820374608,1.0,1,1,0.0035007840399451937,0.7715234332012407,117517,1721132584552
"{'x': -0.019157598463990098, 'y': 0.019820525202948185, 'z': 0.9416415256776492}",1.0,"{'x': -0.07075816670897644, 'y': 0.08486953976536657, 'z': 0.9130175099736562}","{'x': 0.0, 'y': 0.0, 'z': 0.0}",,,"{'WorldPoint': {'x': -1.0426570463004057, 'y': 0.6894896554427629, 'z': -0.045491510644655064}, 'ObjectPoint': {'x': 477.74997768439795, 'y': 36.91862020302665, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.00813620095141232,1.0,1,1,0.003502195910091756,0.7759651921012185,117518,1721132584570
"{'x': -0.019715775149676488, 'y': 0.019762649782947443, 'z': 0.9419118230456347}",1.0,"{'x': -0.07065888326521791, 'y': 0.08467589903439501, 'z': 0.9130398367106827}","{'x': 0.0, 'y': 0.0, 'z': 0.0}",,,"{'WorldPoint': {'x': -1.044419411670704, 'y': 0.6881524320692036, 'z': -0.043993500079901604}, 'ObjectPoint': {'x': 473.78483543850615, 'y': 39.32562227543349, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.008194265188649297,1.0,1,1,0.0035007140005317954,0.7832401629650232,117519,1721132584586
"{'x': -0.02041147321844411, 'y': 0.019768835042906274, 'z': 0.9420996749568761}",1.0,"{'x': -0.07092825349524935, 'y': 0.08460861123908986, 'z': 0.9128492641366996}","{'x': -0.6037498946670842, 'y': 0.29655865032606327, 'z': -0.7399588039926741}","{'WorldPoint': {'x': -0.9305636692860366, 'y': 0.5066090506464326, 'z': -0.1407708811068687}, 'ObjectPoint': {'x': 729.9486376076537, 'y': 366.10370883642133, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.9390462094111462, 'y': 0.4980087229705795, 'z': -0.13356072200052554}, 'ObjectPoint': {'x': 710.8637879111043, 'y': 381.5842986529568, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -1.036914489360318, 'y': 0.7016009827957298, 'z': -0.050372684043729715}, 'ObjectPoint': {'x': 490.6701448111096, 'y': 15.118230967686259, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.008184197591617703,1.0,1,1,0.0035024254833504465,0.784606835155776,117520,1721132584603
"{'x': -0.021075194874132928, 'y': 0.01977003651307259, 'z': 0.9423314440564391}",1.0,"{'x': -0.07194796146994117, 'y': 0.08449996820197003, 'z': 0.9131292373504607}","{'x': -0.5853068133955366, 'y': 0.2986667870802072, 'z': -0.7537997641867159}","{'WorldPoint': {'x': -0.9060605602341935, 'y': 0.5100213285491293, 'z': -0.16159852380093548}, 'ObjectPoint': {'x': 785.0781326003518, 'y': 359.96160861156727, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.9060605602341936, 'y': 0.5100213285491294, 'z': -0.16159852380093537}, 'ObjectPoint': {'x': 785.0781326003514, 'y': 359.96160861156704, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -1.0083192221980068, 'y': 0.698136669358905, 'z': -0.07467866113169408}, 'ObjectPoint': {'x': 555.006577975737, 'y': 21.353995153971027, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.0081151791382581,1.0,1,1,0.003506440402311867,0.7843503039894681,117521,1721132584621
"{'x': -0.021662917418712353, 'y': 0.019757476666798952, 'z': 0.94260569361504}",1.0,"{'x': -0.07251695770051225, 'y': 0.0844192844266261, 'z': 0.9134287426638528}","{'x': -0.5644776707779982, 'y': 0.2987181945077265, 'z': -0.7695013966609092}","{'WorldPoint': {'x': -0.8782569706971587, 'y': 0.5106339076519584, 'z': -0.185231574907415}, 'ObjectPoint': {'x': 847.6333718933704, 'y': 358.858966226475, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -0.888424278975094, 'y': 0.5160143861527329, 'z': -0.17658936287117}, 'ObjectPoint': {'x': 824.7579657719793, 'y': 349.1741049250809, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}","{'WorldPoint': {'x': -1.0071304645009442, 'y': 0.6647736845320789, 'z': -0.07568910517419725}, 'ObjectPoint': {'x': 557.6811614895711, 'y': 81.40736784225794, 'z': 0.0}, 'ObjectName': 'ScreenMiddle'}",0.008009322453290224,1.0,1,1,0.00350606661943255,0.7827048256541743,117522,1721132584636
